"orderNumber","orderDate","requiredDate","shippedDate","status","customerName","contactFirstName","contactLastName","city","state","postalCode","country","creditLimit","employeeFirstName","employeeLastName","officeCity","officeState","officeCountry","officePostalCode","territory","orderLineNumber","productCode","quantityOrdered","priceEach","productName","productScale","buyPrice","productVendor","quantityInStock","productLine"
10103,"2020-09-25","2020-10-04","2020-09-29",Shipped,Baane Mini Imports,Jonas ,Bergulfsen,Stavern,,"4110",Norway,81700.00,Barry,Jones,London,,UK,EC2N 1HN,EMEA,12,S18_2949,27,92.19,"1913 Ford Model T Speedster","1:18",60.78,Carousel DieCast Legends,4189,Vintage Cars
10103,"2020-09-25","2020-10-04","2020-09-29",Shipped,Baane Mini Imports,Jonas ,Bergulfsen,Stavern,,"4110",Norway,81700.00,Barry,Jones,London,,UK,EC2N 1HN,EMEA,13,S18_3136,25,86.92,"18th Century Vintage Horse Carriage","1:18",60.74,Red Start Diecast,5992,Vintage Cars
10103,"2020-09-25","2020-10-04","2020-09-29",Shipped,Baane Mini Imports,Jonas ,Bergulfsen,Stavern,,"4110",Norway,81700.00,Barry,Jones,London,,UK,EC2N 1HN,EMEA,14,S18_2957,35,61.84,"1934 Ford V8 Coupe","1:18",34.35,Min Lin Diecast,5649,Vintage Cars
10103,"2020-09-25","2020-10-04","2020-09-29",Shipped,Baane Mini Imports,Jonas ,Bergulfsen,Stavern,,"4110",Norway,81700.00,Barry,Jones,London,,UK,EC2N 1HN,EMEA,15,S24_4258,25,88.62,"1936 Chrysler Airflow","1:24",57.46,Second Gear Diecast,4710,Vintage Cars
10103,"2020-09-25","2020-10-04","2020-09-29",Shipped,Baane Mini Imports,Jonas ,Bergulfsen,Stavern,,"4110",Norway,81700.00,Barry,Jones,London,,UK,EC2N 1HN,EMEA,16,S18_3320,46,86.31,"1917 Maxwell Touring Car","1:18",57.54,Exoto Designs,7913,Vintage Cars
10104,"2020-09-27","2020-10-06","2020-09-28",Shipped,Euro+ Shopping Channel,Diego ,Freyre,Madrid,,"28034",Spain,227600.00,Gerard,Hernandez,Paris,,France,"75017",EMEA,1,S12_3148,34,131.44,"1969 Corvair Monza","1:18",89.14,Welly Diecast Productions,6906,Classic Cars
10104,"2020-09-27","2020-10-06","2020-09-28",Shipped,Euro+ Shopping Channel,Diego ,Freyre,Madrid,,"28034",Spain,227600.00,Gerard,Hernandez,Paris,,France,"75017",EMEA,2,S50_1514,32,53.31,"1962 City of Detroit Streetcar","1:50",37.49,Classic Metal Creations,1645,Trains
10104,"2020-09-27","2020-10-06","2020-09-28",Shipped,Euro+ Shopping Channel,Diego ,Freyre,Madrid,,"28034",Spain,227600.00,Gerard,Hernandez,Paris,,France,"75017",EMEA,3,S18_4027,38,119.20,"1970 Triumph Spitfire","1:18",91.92,Min Lin Diecast,5545,Classic Cars
10104,"2020-09-27","2020-10-06","2020-09-28",Shipped,Euro+ Shopping Channel,Diego ,Freyre,Madrid,,"28034",Spain,227600.00,Gerard,Hernandez,Paris,,France,"75017",EMEA,4,S32_3207,49,56.55,"1950's Chicago Surface Lines Streetcar","1:32",26.72,Gearbox Collectibles,8601,Trains
10104,"2020-09-27","2020-10-06","2020-09-28",Shipped,Euro+ Shopping Channel,Diego ,Freyre,Madrid,,"28034",Spain,227600.00,Gerard,Hernandez,Paris,,France,"75017",EMEA,5,S24_4048,26,106.45,"1992 Porsche Cayenne Turbo Silver","1:24",69.78,Exoto Designs,6582,Classic Cars
10104,"2020-09-27","2020-10-06","2020-09-28",Shipped,Euro+ Shopping Channel,Diego ,Freyre,Madrid,,"28034",Spain,227600.00,Gerard,Hernandez,Paris,,France,"75017",EMEA,6,S24_1444,35,52.02,"1970 Dodge Coronet","1:24",32.37,Highway 66 Mini Classics,4074,Classic Cars
10104,"2020-09-27","2020-10-06","2020-09-28",Shipped,Euro+ Shopping Channel,Diego ,Freyre,Madrid,,"28034",Spain,227600.00,Gerard,Hernandez,Paris,,France,"75017",EMEA,7,S50_1392,33,114.59,Diamond T620 Semi-Skirted Tanker,"1:50",68.29,Highway 66 Mini Classics,1016,Trucks and Buses
10104,"2020-09-27","2020-10-06","2020-09-28",Shipped,Euro+ Shopping Channel,Diego ,Freyre,Madrid,,"28034",Spain,227600.00,Gerard,Hernandez,Paris,,France,"75017",EMEA,8,S18_2238,24,135.90,"1998 Chrysler Plymouth Prowler","1:18",101.51,Gearbox Collectibles,4724,Classic Cars
10104,"2020-09-27","2020-10-06","2020-09-28",Shipped,Euro+ Shopping Channel,Diego ,Freyre,Madrid,,"28034",Spain,227600.00,Gerard,Hernandez,Paris,,France,"75017",EMEA,9,S12_4473,41,111.39,"1957 Chevy Pickup","1:12",55.70,Exoto Designs,6125,Trucks and Buses
10104,"2020-09-27","2020-10-06","2020-09-28",Shipped,Euro+ Shopping Channel,Diego ,Freyre,Madrid,,"28034",Spain,227600.00,Gerard,Hernandez,Paris,,France,"75017",EMEA,10,S24_2840,44,30.41,"1958 Chevy Corvette Limited Edition","1:24",15.91,Carousel DieCast Legends,2542,Classic Cars
10104,"2020-09-27","2020-10-06","2020-09-28",Shipped,Euro+ Shopping Channel,Diego ,Freyre,Madrid,,"28034",Spain,227600.00,Gerard,Hernandez,Paris,,France,"75017",EMEA,11,S32_2509,35,51.95,"1954 Greyhound Scenicruiser","1:32",25.98,Classic Metal Creations,2874,Trucks and Buses
10104,"2020-09-27","2020-10-06","2020-09-28",Shipped,Euro+ Shopping Channel,Diego ,Freyre,Madrid,,"28034",Spain,227600.00,Gerard,Hernandez,Paris,,France,"75017",EMEA,12,S18_2319,29,122.73,"1964 Mercedes Tour Bus","1:18",74.86,Unimax Art Galleries,8258,Trucks and Buses
10104,"2020-09-27","2020-10-06","2020-09-28",Shipped,Euro+ Shopping Channel,Diego ,Freyre,Madrid,,"28034",Spain,227600.00,Gerard,Hernandez,Paris,,France,"75017",EMEA,13,S18_3232,23,165.95,"1992 Ferrari 360 Spider red","1:18",77.90,Unimax Art Galleries,8347,Classic Cars
10105,"2020-10-08","2020-10-18","2020-10-09",Shipped,Danish Wholesale Imports,Jytte ,Petersen,Kobenhavn,,"1734",Denmark,83400.00,Pamela,Castillo,Paris,,France,"75017",EMEA,1,S24_3816,50,75.47,"1940 Ford Delivery Sedan","1:24",48.64,Carousel DieCast Legends,6621,Vintage Cars
10105,"2020-10-08","2020-10-18","2020-10-09",Shipped,Danish Wholesale Imports,Jytte ,Petersen,Kobenhavn,,"1734",Denmark,83400.00,Pamela,Castillo,Paris,,France,"75017",EMEA,2,S10_4757,50,127.84,"1972 Alfa Romeo GTA","1:10",85.68,Motor City Art Classics,3252,Classic Cars
10105,"2020-10-08","2020-10-18","2020-10-09",Shipped,Danish Wholesale Imports,Jytte ,Petersen,Kobenhavn,,"1734",Denmark,83400.00,Pamela,Castillo,Paris,,France,"75017",EMEA,3,S700_2610,31,60.72,The USS Constitution Ship,"1:700",33.97,Red Start Diecast,7083,Ships
10105,"2020-10-08","2020-10-18","2020-10-09",Shipped,Danish Wholesale Imports,Jytte ,Petersen,Kobenhavn,,"1734",Denmark,83400.00,Pamela,Castillo,Paris,,France,"75017",EMEA,4,S24_3151,44,73.46,"1912 Ford Model T Delivery Wagon","1:24",46.91,Min Lin Diecast,9173,Vintage Cars
10105,"2020-10-08","2020-10-18","2020-10-09",Shipped,Danish Wholesale Imports,Jytte ,Petersen,Kobenhavn,,"1734",Denmark,83400.00,Pamela,Castillo,Paris,,France,"75017",EMEA,5,S700_1138,41,54.00,The Schooner Bluenose,"1:700",34.00,Autoart Studio Design,1897,Ships
10105,"2020-10-08","2020-10-18","2020-10-09",Shipped,Danish Wholesale Imports,Jytte ,Petersen,Kobenhavn,,"1734",Denmark,83400.00,Pamela,Castillo,Paris,,France,"75017",EMEA,6,S700_3505,39,92.16,The Titanic,"1:700",51.09,Carousel DieCast Legends,1956,Ships
10105,"2020-10-08","2020-10-18","2020-10-09",Shipped,Danish Wholesale Imports,Jytte ,Petersen,Kobenhavn,,"1734",Denmark,83400.00,Pamela,Castillo,Paris,,France,"75017",EMEA,7,S700_3962,22,99.31,The Queen Mary,"1:700",53.63,Welly Diecast Productions,5088,Ships
10105,"2020-10-08","2020-10-18","2020-10-09",Shipped,Danish Wholesale Imports,Jytte ,Petersen,Kobenhavn,,"1734",Denmark,83400.00,Pamela,Castillo,Paris,,France,"75017",EMEA,8,S72_3212,25,44.77,Pont Yacht,"1:72",33.30,Unimax Art Galleries,414,Ships
10105,"2020-10-08","2020-10-18","2020-10-09",Shipped,Danish Wholesale Imports,Jytte ,Petersen,Kobenhavn,,"1734",Denmark,83400.00,Pamela,Castillo,Paris,,France,"75017",EMEA,9,S24_2011,43,117.97,"18th century schooner","1:24",82.34,Carousel DieCast Legends,1898,Ships
10105,"2020-10-08","2020-10-18","2020-10-09",Shipped,Danish Wholesale Imports,Jytte ,Petersen,Kobenhavn,,"1734",Denmark,83400.00,Pamela,Castillo,Paris,,France,"75017",EMEA,10,S18_4522,41,75.48,"1904 Buick Runabout","1:18",52.66,Exoto Designs,8290,Vintage Cars
10105,"2020-10-08","2020-10-18","2020-10-09",Shipped,Danish Wholesale Imports,Jytte ,Petersen,Kobenhavn,,"1734",Denmark,83400.00,Pamela,Castillo,Paris,,France,"75017",EMEA,11,S18_3140,22,136.59,"1903 Ford Model A","1:18",68.30,Unimax Art Galleries,3913,Vintage Cars
10105,"2020-10-08","2020-10-18","2020-10-09",Shipped,Danish Wholesale Imports,Jytte ,Petersen,Kobenhavn,,"1734",Denmark,83400.00,Pamela,Castillo,Paris,,France,"75017",EMEA,12,S700_1938,29,86.61,The Mayflower,"1:700",43.30,Studio M Art Models,737,Ships
10105,"2020-10-08","2020-10-18","2020-10-09",Shipped,Danish Wholesale Imports,Jytte ,Petersen,Kobenhavn,,"1734",Denmark,83400.00,Pamela,Castillo,Paris,,France,"75017",EMEA,13,S18_3259,38,87.73,Collectable Wooden Train,"1:18",67.56,Carousel DieCast Legends,6450,Trains
10105,"2020-10-08","2020-10-18","2020-10-09",Shipped,Danish Wholesale Imports,Jytte ,Petersen,Kobenhavn,,"1734",Denmark,83400.00,Pamela,Castillo,Paris,,France,"75017",EMEA,14,S12_3891,29,141.88,"1969 Ford Falcon","1:12",83.05,Second Gear Diecast,1049,Classic Cars
10105,"2020-10-08","2020-10-18","2020-10-09",Shipped,Danish Wholesale Imports,Jytte ,Petersen,Kobenhavn,,"1734",Denmark,83400.00,Pamela,Castillo,Paris,,France,"75017",EMEA,15,S12_1108,41,205.72,"2001 Ferrari Enzo","1:12",95.59,Second Gear Diecast,3619,Classic Cars
10106,"2020-10-14","2020-10-21","2020-10-18",Shipped,Rovelli Gifts,Giovanni ,Rovelli,Bergamo,,"24100",Italy,119600.00,Pamela,Castillo,Paris,,France,"75017",EMEA,1,S700_2834,32,113.90,ATA: B757-300,"1:700",59.33,Highway 66 Mini Classics,7106,Planes
10106,"2020-10-14","2020-10-21","2020-10-18",Shipped,Rovelli Gifts,Giovanni ,Rovelli,Bergamo,,"24100",Italy,119600.00,Pamela,Castillo,Paris,,France,"75017",EMEA,2,S18_2581,34,81.10,P-51-D Mustang,"1:72",49.00,Gearbox Collectibles,992,Planes
10106,"2020-10-14","2020-10-21","2020-10-18",Shipped,Rovelli Gifts,Giovanni ,Rovelli,Bergamo,,"24100",Italy,119600.00,Pamela,Castillo,Paris,,France,"75017",EMEA,3,S24_4278,26,71.00,"1900s Vintage Tri-Plane","1:24",36.23,Unimax Art Galleries,2756,Planes
10106,"2020-10-14","2020-10-21","2020-10-18",Shipped,Rovelli Gifts,Giovanni ,Rovelli,Bergamo,,"24100",Italy,119600.00,Pamela,Castillo,Paris,,France,"75017",EMEA,4,S24_1785,28,107.23,"1928 British Royal Navy Airplane","1:24",66.74,Classic Metal Creations,3627,Planes
10106,"2020-10-14","2020-10-21","2020-10-18",Shipped,Rovelli Gifts,Giovanni ,Rovelli,Bergamo,,"24100",Italy,119600.00,Pamela,Castillo,Paris,,France,"75017",EMEA,5,S32_4289,33,65.35,"1928 Ford Phaeton Deluxe","1:32",33.02,Highway 66 Mini Classics,136,Vintage Cars
10106,"2020-10-14","2020-10-21","2020-10-18",Shipped,Rovelli Gifts,Giovanni ,Rovelli,Bergamo,,"24100",Italy,119600.00,Pamela,Castillo,Paris,,France,"75017",EMEA,6,S50_1341,39,35.78,"1930 Buick Marquette Phaeton","1:50",27.06,Studio M Art Models,7062,Vintage Cars
10106,"2020-10-14","2020-10-21","2020-10-18",Shipped,Rovelli Gifts,Giovanni ,Rovelli,Bergamo,,"24100",Italy,119600.00,Pamela,Castillo,Paris,,France,"75017",EMEA,7,S700_1691,31,91.34,American Airlines: B767-300,"1:700",51.15,Min Lin Diecast,5841,Planes
10106,"2020-10-14","2020-10-21","2020-10-18",Shipped,Rovelli Gifts,Giovanni ,Rovelli,Bergamo,,"24100",Italy,119600.00,Pamela,Castillo,Paris,,France,"75017",EMEA,8,S700_3167,44,76.00,F/A 18 Hornet 1/72,"1:72",54.40,Motor City Art Classics,551,Planes
10106,"2020-10-14","2020-10-21","2020-10-18",Shipped,Rovelli Gifts,Giovanni ,Rovelli,Bergamo,,"24100",Italy,119600.00,Pamela,Castillo,Paris,,France,"75017",EMEA,9,S700_2466,34,99.72,America West Airlines B757-200,"1:700",68.80,Motor City Art Classics,9653,Planes
10106,"2020-10-14","2020-10-21","2020-10-18",Shipped,Rovelli Gifts,Giovanni ,Rovelli,Bergamo,,"24100",Italy,119600.00,Pamela,Castillo,Paris,,France,"75017",EMEA,10,S700_4002,48,70.33,American Airlines: MD-11S,"1:700",36.27,Second Gear Diecast,8820,Planes
10106,"2020-10-14","2020-10-21","2020-10-18",Shipped,Rovelli Gifts,Giovanni ,Rovelli,Bergamo,,"24100",Italy,119600.00,Pamela,Castillo,Paris,,France,"75017",EMEA,11,S24_3949,50,55.96,Corsair F4U ( Bird Cage),"1:24",29.34,Second Gear Diecast,6812,Planes
10106,"2020-10-14","2020-10-21","2020-10-18",Shipped,Rovelli Gifts,Giovanni ,Rovelli,Bergamo,,"24100",Italy,119600.00,Pamela,Castillo,Paris,,France,"75017",EMEA,12,S18_1662,36,134.04,"1980s Black Hawk Helicopter","1:18",77.27,Red Start Diecast,5330,Planes
10106,"2020-10-14","2020-10-21","2020-10-18",Shipped,Rovelli Gifts,Giovanni ,Rovelli,Bergamo,,"24100",Italy,119600.00,Pamela,Castillo,Paris,,France,"75017",EMEA,13,S24_2841,49,65.77,"1900s Vintage Bi-Plane","1:24",34.25,Autoart Studio Design,5942,Planes
10106,"2020-10-14","2020-10-21","2020-10-18",Shipped,Rovelli Gifts,Giovanni ,Rovelli,Bergamo,,"24100",Italy,119600.00,Pamela,Castillo,Paris,,France,"75017",EMEA,14,S24_3420,31,55.89,"1937 Horch 930V Limousine","1:24",26.30,Autoart Studio Design,2902,Vintage Cars
10106,"2020-10-14","2020-10-21","2020-10-18",Shipped,Rovelli Gifts,Giovanni ,Rovelli,Bergamo,,"24100",Italy,119600.00,Pamela,Castillo,Paris,,France,"75017",EMEA,15,S72_1253,48,43.70,Boeing X-32A JSF,"1:72",32.77,Motor City Art Classics,4857,Planes
10106,"2020-10-14","2020-10-21","2020-10-18",Shipped,Rovelli Gifts,Giovanni ,Rovelli,Bergamo,,"24100",Italy,119600.00,Pamela,Castillo,Paris,,France,"75017",EMEA,16,S700_2047,30,85.09,HMS Bounty,"1:700",39.83,Unimax Art Galleries,3501,Ships
10106,"2020-10-14","2020-10-21","2020-10-18",Shipped,Rovelli Gifts,Giovanni ,Rovelli,Bergamo,,"24100",Italy,119600.00,Pamela,Castillo,Paris,,France,"75017",EMEA,17,S18_3856,41,94.22,"1941 Chevrolet Special Deluxe Cabriolet","1:18",64.58,Exoto Designs,2378,Vintage Cars
10106,"2020-10-14","2020-10-21","2020-10-18",Shipped,Rovelli Gifts,Giovanni ,Rovelli,Bergamo,,"24100",Italy,119600.00,Pamela,Castillo,Paris,,France,"75017",EMEA,18,S18_3029,41,80.86,"1999 Yamaha Speed Boat","1:18",51.61,Min Lin Diecast,4259,Ships
10107,"2020-10-21","2020-10-28","2020-10-23",Shipped,Land of Toys Inc.,Kwai,Lee,NYC,NY,"10022",USA,114900.00,George,Vanauf,NYC,NY,USA,"10022",NA,1,S12_2823,21,122.00,"2002 Suzuki XREO","1:12",66.27,Unimax Art Galleries,9997,Motorcycles
10107,"2020-10-21","2020-10-28","2020-10-23",Shipped,Land of Toys Inc.,Kwai,Lee,NYC,NY,"10022",USA,114900.00,George,Vanauf,NYC,NY,USA,"10022",NA,2,S10_1678,30,81.35,"1969 Harley Davidson Ultimate Chopper","1:10",48.81,Min Lin Diecast,7933,Motorcycles
10107,"2020-10-21","2020-10-28","2020-10-23",Shipped,Land of Toys Inc.,Kwai,Lee,NYC,NY,"10022",USA,114900.00,George,Vanauf,NYC,NY,USA,"10022",NA,3,S24_1578,25,96.92,"1997 BMW R 1100 S","1:24",60.86,Autoart Studio Design,7003,Motorcycles
10107,"2020-10-21","2020-10-28","2020-10-23",Shipped,Land of Toys Inc.,Kwai,Lee,NYC,NY,"10022",USA,114900.00,George,Vanauf,NYC,NY,USA,"10022",NA,4,S10_4698,27,172.36,"2003 Harley-Davidson Eagle Drag Bike","1:10",91.02,Red Start Diecast,5582,Motorcycles
10107,"2020-10-21","2020-10-28","2020-10-23",Shipped,Land of Toys Inc.,Kwai,Lee,NYC,NY,"10022",USA,114900.00,George,Vanauf,NYC,NY,USA,"10022",NA,5,S10_2016,39,105.86,"1996 Moto Guzzi 1100i","1:10",68.99,Highway 66 Mini Classics,6625,Motorcycles
10107,"2020-10-21","2020-10-28","2020-10-23",Shipped,Land of Toys Inc.,Kwai,Lee,NYC,NY,"10022",USA,114900.00,George,Vanauf,NYC,NY,USA,"10022",NA,6,S18_2625,29,52.70,"1936 Harley Davidson El Knucklehead","1:18",24.23,Welly Diecast Productions,4357,Motorcycles
10107,"2020-10-21","2020-10-28","2020-10-23",Shipped,Land of Toys Inc.,Kwai,Lee,NYC,NY,"10022",USA,114900.00,George,Vanauf,NYC,NY,USA,"10022",NA,7,S24_2000,38,73.12,"1960 BSA Gold Star DBD34","1:24",37.32,Highway 66 Mini Classics,15,Motorcycles
10107,"2020-10-21","2020-10-28","2020-10-23",Shipped,Land of Toys Inc.,Kwai,Lee,NYC,NY,"10022",USA,114900.00,George,Vanauf,NYC,NY,USA,"10022",NA,8,S32_1374,20,88.90,"1997 BMW F650 ST","1:32",66.92,Exoto Designs,178,Motorcycles
10108,"2020-10-28","2020-11-06","2020-11-02",Shipped,Cruz & Sons Co.,Arnold,Cruz,Makati City,,"1227 MM",Philippines,81500.00,Mami,Nishi,Tokyo,Chiyoda-Ku,Japan,"102-8578",Japan,1,S24_3856,40,132.00,"1956 Porsche 356A Coupe","1:18",98.30,Classic Metal Creations,6600,Classic Cars
10108,"2020-10-28","2020-11-06","2020-11-02",Shipped,Cruz & Sons Co.,Arnold,Cruz,Makati City,,"1227 MM",Philippines,81500.00,Mami,Nishi,Tokyo,Chiyoda-Ku,Japan,"102-8578",Japan,2,S18_1889,38,67.76,"1948 Porsche 356-A Roadster","1:18",53.90,Gearbox Collectibles,8826,Classic Cars
10108,"2020-10-28","2020-11-06","2020-11-02",Shipped,Cruz & Sons Co.,Arnold,Cruz,Makati City,,"1227 MM",Philippines,81500.00,Mami,Nishi,Tokyo,Chiyoda-Ku,Japan,"102-8578",Japan,3,S12_4675,36,107.10,"1969 Dodge Charger","1:12",58.73,Welly Diecast Productions,7323,Classic Cars
10108,"2020-10-28","2020-11-06","2020-11-02",Shipped,Cruz & Sons Co.,Arnold,Cruz,Makati City,,"1227 MM",Philippines,81500.00,Mami,Nishi,Tokyo,Chiyoda-Ku,Japan,"102-8578",Japan,4,S12_3380,45,96.30,"1968 Dodge Charger","1:12",75.16,Welly Diecast Productions,9123,Classic Cars
10108,"2020-10-28","2020-11-06","2020-11-02",Shipped,Cruz & Sons Co.,Arnold,Cruz,Makati City,,"1227 MM",Philippines,81500.00,Mami,Nishi,Tokyo,Chiyoda-Ku,Japan,"102-8578",Japan,5,S24_3371,30,60.01,"1971 Alpine Renault 1600s","1:24",38.58,Welly Diecast Productions,7995,Classic Cars
10108,"2020-10-28","2020-11-06","2020-11-02",Shipped,Cruz & Sons Co.,Arnold,Cruz,Makati City,,"1227 MM",Philippines,81500.00,Mami,Nishi,Tokyo,Chiyoda-Ku,Japan,"102-8578",Japan,6,S12_1099,33,165.38,"1968 Ford Mustang","1:12",95.34,Autoart Studio Design,68,Classic Cars
